Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR11917058_1	(1.0, 2.3529411764705883)	(2.0, 0.4705882352941176)	(3.0, 0.0784313725490196)	(4.0, 0.20915032679738566)	(5.0, 0.0)	(6.0, 0.1568627450980392)	(7.0, 0.3660130718954248)	(8.0, 0.20915032679738566)	(9.0, 0.2352941176470588)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 38.771241830065364)	('>1k', 57.15032679738562)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917058_2	(1.0, 3.895424836601307)	(2.0, 0.6274509803921569)	(3.0, 0.39215686274509803)	(4.0, 0.10457516339869283)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.1830065359477124)	(8.0, 0.0)	(9.0, 0.0)	('>10', 4.810457516339869)	('>50', 14.143790849673202)	('>100', 60.75816993464053)	('>500', 15.08496732026144)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917059_1	(1.0, 11.495422177009155)	(2.0, 6.002034587995931)	(3.0, 5.035605289928789)	(4.0, 3.458799593082401)	(5.0, 2.5432349949135302)	(6.0, 2.441505595116989)	(7.0, 1.4242115971515767)	(8.0, 0.0)	(9.0, 0.9155645981688708)	('>10', 7.884028484231943)	('>50', 0.0)	('>100', 58.79959308240081)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917059_2	(1.0, 22.278738555442523)	(2.0, 6.612410986775178)	(3.0, 5.340793489318413)	(4.0, 2.238046795523906)	(5.0, 2.2889114954221768)	(6.0, 1.2207527975584944)	(7.0, 0.7121057985757884)	(8.0, 0.8138351983723295)	(9.0, 0.4577822990844354)	('>10', 30.061037639877924)	('>50', 21.566632756866735)	('>100', 6.408952187182096)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917060_1	(1.0, 6.951211143896247)	(2.0, 1.9213614218074522)	(3.0, 1.1322308378508201)	(4.0, 0.5215123859191656)	(5.0, 0.5489604062307006)	(6.0, 0.3705482742057229)	(7.0, 0.7685445687229808)	(8.0, 0.49406436560763056)	(9.0, 0.12351609140190764)	('>10', 9.805805256295889)	('>50', 7.8844438344884376)	('>100', 24.113085843683525)	('>500', 30.185960337610652)	('>1k', 15.178755232278874)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917060_2	(1.0, 15.480683455705757)	(2.0, 3.0467302545803885)	(3.0, 1.955671447196871)	(4.0, 1.4272970561998217)	(5.0, 1.303780964797914)	(6.0, 0.9881287312152611)	(7.0, 1.2008508886296576)	(8.0, 1.3175049749536814)	(9.0, 1.049886776916215)	('>10', 16.242366019350854)	('>50', 18.108831400535237)	('>100', 37.878268029918345)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917061_1	(1.0, 8.013794715922376)	(2.0, 2.408230067804536)	(3.0, 1.3677811550151975)	(4.0, 1.2625672200140285)	(5.0, 1.110591536123451)	(6.0, 0.5962122983399579)	(7.0, 0.4909983633387889)	(8.0, 0.5143792377834931)	(9.0, 0.36824877250409166)	('>10', 12.23404255319149)	('>50', 6.43558569090484)	('>100', 23.503624035538927)	('>500', 11.859948562076221)	('>1k', 29.833995791442604)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917061_2	(1.0, 14.72410568155249)	(2.0, 3.834463408931494)	(3.0, 2.7004909983633385)	(4.0, 2.43161094224924)	(5.0, 1.6366612111292964)	(6.0, 1.8587795183539864)	(7.0, 1.1865793780687397)	(8.0, 1.309328968903437)	(9.0, 1.209960252513444)	('>10', 13.97007248071078)	('>50', 11.766425064297405)	('>100', 39.16296469487959)	('>500', 4.208557400046762)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917062_1	(1.0, 6.5012023359670215)	(2.0, 1.580212985228444)	(3.0, 1.700446581930608)	(4.0, 1.0649261422191687)	(5.0, 0.9876331157677773)	(6.0, 0.8244589488148402)	(7.0, 0.7815183785640674)	(8.0, 1.0305736860185504)	(9.0, 0.9275163174166953)	('>10', 13.311576777739608)	('>50', 7.110958433527998)	('>100', 21.90827894194435)	('>500', 6.475437993816557)	('>1k', 35.795259361044316)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917062_2	(1.0, 24.115424252834078)	(2.0, 5.0326348333905875)	(3.0, 3.0401923737547234)	(4.0, 2.404671934043284)	(5.0, 1.932325661284782)	(6.0, 2.009618687736173)	(7.0, 2.5850223290965304)	(8.0, 1.1679835108210237)	(9.0, 1.700446581930608)	('>10', 17.4166952937135)	('>50', 6.707317073170732)	('>100', 27.12985228443834)	('>500', 4.757815183785641)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
