.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR11917105_1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917106_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917106_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917107_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917107_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917108_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917108_2	1	0.25	1	0.25	0.25	1	0.5	0.5	0.25	1
SRR11917109_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917109_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917110_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917110_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917111_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917111_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917112_1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917112_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917113_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917113_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917114_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917114_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917115_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917115_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917116_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917116_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917117_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917117_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917118_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917118_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917119_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917119_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917120_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917120_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
