Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolate,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR11917067,AMPLICON,516,7134784,PRJNA635907,SAMN15057904,Metagenome or environmental,3986389,UNIVERSITY OF SASKATCHEWAN,2016,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX8463799,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,597xjJP2017,leaf,52.1718 N 106.5052 W,597xjJP2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1131-1-L,SRP265801
SRR11917068,AMPLICON,593,12678461,PRJNA635907,SAMN15057903,Metagenome or environmental,8940138,UNIVERSITY OF SASKATCHEWAN,2016,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX8463798,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,615snRF2017,leaf,52.1718 N 106.5052 W,615snRF2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1127w9-L,SRP265801
SRR11917069,AMPLICON,588,11784506,PRJNA635907,SAMN15057902,Metagenome or environmental,8255941,UNIVERSITY OF SASKATCHEWAN,2016,public,"run.zq,sra,fastq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8463797,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,312vwPT2017,leaf,52.1718 N 106.5052 W,312vwPT2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:09:00Z,1,1127w6-L,SRP265801
SRR11917070,AMPLICON,592,32203662,PRJNA635907,SAMN15057901,Metagenome or environmental,22482382,UNIVERSITY OF SASKATCHEWAN,2016,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX8463796,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,565krWL2017,leaf,52.1718 N 106.5052 W,565krWL2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:09:00Z,1,1127w5-L,SRP265801
SRR11917071,AMPLICON,593,8118835,PRJNA635907,SAMN15057900,Metagenome or environmental,5672388,UNIVERSITY OF SASKATCHEWAN,2016,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX8463795,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,696suJT2017,leaf,52.1718 N 106.5052 W,696suJT2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1127w3-L,SRP265801
SRR11917072,AMPLICON,593,11787705,PRJNA635907,SAMN15057899,Metagenome or environmental,8285501,UNIVERSITY OF SASKATCHEWAN,2016,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8463794,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,765dwGB2017,leaf,52.1718 N 106.5052 W,765dwGB2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1127w2-L,SRP265801
SRR11917073,AMPLICON,594,7912176,PRJNA635907,SAMN15057854,Metagenome or environmental,5711138,UNIVERSITY OF SASKATCHEWAN,2016,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX8463793,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,833frHE2017,leaf,52.1718 N 106.5052 W,833frHE2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1105w2-L,SRP265801
SRR11917074,AMPLICON,597,24503,PRJNA635907,SAMN15057898,Metagenome or environmental,99982,UNIVERSITY OF SASKATCHEWAN,2016,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX8463792,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,936svDG2017,leaf,52.1718 N 106.5052 W,936svDG2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1127-8-S,SRP265801
SRR11917075,AMPLICON,588,4364679,PRJNA635907,SAMN15057897,Metagenome or environmental,2397455,UNIVERSITY OF SASKATCHEWAN,2016,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX8463791,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,757kyEB2017,leaf,52.1718 N 106.5052 W,757kyEB2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1127-7-L,SRP265801
SRR11917076,AMPLICON,586,17150573,PRJNA635907,SAMN15057896,Metagenome or environmental,9176641,UNIVERSITY OF SASKATCHEWAN,2016,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX8463790,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,206orZO2017,leaf,52.1718 N 106.5052 W,206orZO2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:09:00Z,1,1127-4-L,SRP265801
